Category,QA Group,Question,Answer
Ongoing Trip Assistance,Bus operator informed me that my dropping point location has changed,The driver informed me that my dropping location has changed. Why? What should I do now?,"Bus operators usually change dropping point location due to operational challenges like traffic restrictions or traffic diversions etc. Some times buses are not allowed to enter the destination city after a certain point in time because of traffic restrictions. As a result of which the buses may get delayed. Hence to avoid such delays, the bus driver or the crew might change your dropping point. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus operator informed me that my dropping point location has changed,The bus driver changed my dropping location.,"Bus operators usually change dropping point location due to operational challenges like traffic restrictions or traffic diversions etc. Some times buses are not allowed to enter the destination city after a certain point in time because of traffic restrictions. As a result of which the buses may get delayed. Hence to avoid such delays, the bus driver or the crew might change your dropping point. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus was delayed in reaching my boarding point,"My bus has not yet reached the boarding point. Why is there a delay? What do I do now?

","Your bus may get delayed due to traffic and other operational challenges. Boarding Point Contact and Landmark details are shared on booking confirmation SMS and Email. Most of the Bus operators send Vehicle / Crew (Driver) / Bus GPS Tracking information 15-30 minutes prior to Bus start time. We request to coordinate with the bus operator crew on the contact number shared with you and board the bus. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus was delayed in reaching my boarding point,My bus has not reached the boarding point.,"Your bus may get delayed due to traffic and other operational challenges. Boarding Point Contact and Landmark details are shared on booking confirmation SMS and Email. Most of the Bus operators send Vehicle / Crew (Driver) / Bus GPS Tracking information 15-30 minutes prior to Bus start time. We request to coordinate with the bus operator crew on the contact number shared with you and board the bus. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus was delayed in reaching my boarding point,My bus is late.,"Your bus may get delayed due to traffic and other operational challenges. Boarding Point Contact and Landmark details are shared on booking confirmation SMS and Email. Most of the Bus operators send Vehicle / Crew (Driver) / Bus GPS Tracking information 15-30 minutes prior to Bus start time. We request to coordinate with the bus operator crew on the contact number shared with you and board the bus. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus was delayed in reaching my boarding point,My bus still hasn't arrived at the boarding point.,"Your bus may get delayed due to traffic and other operational challenges. Boarding Point Contact and Landmark details are shared on booking confirmation SMS and Email. Most of the Bus operators send Vehicle / Crew (Driver) / Bus GPS Tracking information 15-30 minutes prior to Bus start time. We request to coordinate with the bus operator crew on the contact number shared with you and board the bus. In case you need any further help, please contact our customer care on 1860 108 6789/040 6165 6789/040 3366 7799. Our team will assist you in boarding the bus."
Ongoing Trip Assistance,Bus was delayed in reaching my alighting/dropping point,I've reached my dropping point late. Why? What should I do now?,"Your bus may get delayed due to traffic and other operational challenges. Please fill the feedback form, that you will receive post the journey completion so that we can help in improving the experience."
Ongoing Trip Assistance,Bus was delayed in reaching my alighting/dropping point,The bus dropped me very late.,"Your bus may get delayed due to traffic and other operational challenges. Please fill the feedback form, that you will receive post the journey completion so that we can help in improving the experience."
Ongoing Trip Assistance,Bus Operator informed me that my booking is shifted to different service,The bus operator has shifted me to a different bus service than what I had booked. Why? What should I do now? ,"Bus operators usually shift your booking from one bus service to another service type due to operational challenges like a last-minute bus breakdown, bus service cancellation, etc. In case you did not accept the bus service change and asked for a full refund or traveled in the alternative bus service type the operator arranged and asked for a partial refund, please share the details of your ticket no, passenger mobile number and details of the issue faced. Our team will check and get back to you."
Ongoing Trip Assistance,Bus Operator informed me that my booking is shifted to different service,"My bus has changed, why?","Bus operators usually shift your booking from one bus service to another service type due to operational challenges like a last-minute bus breakdown, bus service cancellation, etc. In case you did not accept the bus service change and asked for a full refund or traveled in the alternative bus service type the operator arranged and asked for a partial refund, please share the details of your ticket no, passenger mobile number and details of the issue faced. Our team will check and get back to you."
Ongoing Trip Assistance,"Bus Operator informed me that my bus type has been changed (sleeper to seater, ac to non-ac etc)",The bus operator has shifted me to a different bus type than what I had booked. (sleeper to seater OR ac to non-ac) Why? What should I do now?,"Bus operators usually shift your booking from one bus service type to another service type due to operational challenges like a last-minute bus breakdown, bus service cancellation, etc. In case you did not accept the bus service type change and asked for a full refund or traveled in the alternative bus service type the operator arranged and asked for a partial refund, please share the details of your ticket no, passenger mobile number and details of the issue faced. Our team will check and get back to you."
Ongoing Trip Assistance,"Bus Operator informed me that my bus type has been changed (sleeper to seater, ac to non-ac etc)","My bus has changed, why?","Bus operators usually shift your booking from one bus service type to another service type due to operational challenges like a last-minute bus breakdown, bus service cancellation, etc. In case you did not accept the bus service type change and asked for a full refund or traveled in the alternative bus service type the operator arranged and asked for a partial refund, please share the details of your ticket no, passenger mobile number and details of the issue faced. Our team will check and get back to you."
Ongoing Trip Assistance,"Bus Operator informed me that my bus type has been changed (sleeper to seater, ac to non-ac etc)",Why has my bus changed?,"Bus operators usually shift your booking from one bus service type to another service type due to operational challenges like a last-minute bus breakdown, bus service cancellation, etc. In case you did not accept the bus service type change and asked for a full refund or traveled in the alternative bus service type the operator arranged and asked for a partial refund, please share the details of your ticket no, passenger mobile number and details of the issue faced. Our team will check and get back to you."
Ongoing Trip Assistance,Bus operator informed me that bus is delayed,"I got a call from the bus operator that there will be a delay for the bus reaching my boarding point. Why? What should I do now?

 ","Your bus might get delayed due to operational challenges like a traffic jam or diversions or bus breakdowns, etc. In such a scenario, you can either choose to travel or request a full refund on your booking. In case you want us to initiate a full refund please reach out to us so that we can either arrange an alternative bus service or process the full refund against your booking. For immediate help, please call us."
Ongoing Trip Assistance,Bus operator informed me that bus is delayed,I got a call from the bus operator that there will be a delay in the arrival of the bus at my boarding point. Why? What should I do now?,"Your bus might get delayed due to operational challenges like a traffic jam or diversions or bus breakdowns, etc. In such a scenario, you can either choose to travel or request a full refund on your booking. In case you want us to initiate a full refund please reach out to us so that we can either arrange an alternative bus service or process the full refund against your booking. For immediate help, please call us."
Ongoing Trip Assistance,Bus operator informed me that bus is delayed,My bus driver said the bus will be late.,"Your bus might get delayed due to operational challenges like a traffic jam or diversions or bus breakdowns, etc. In such a scenario, you can either choose to travel or request a full refund on your booking. In case you want us to initiate a full refund please reach out to us so that we can either arrange an alternative bus service or process the full refund against your booking. For immediate help, please call us."
Ongoing Trip Assistance,Bus breakdown and no alternate is being arranged by bus operator,"The bus I was travelling in has broke-down. There's no alternative being provided by the operator. What should I do now?

The bus I was traveling in, has broken-down and the bus operator has not provided any alternative. What should I do now? ","Sorry to hear about this mishap. In most of the cases, bus operators arrange an alternative bus service in case of a bus breakdown. In rare scenarios, the bus operator may not be in a situation to provide a different bus service. Please contact us on on 1860 108 6789/040 6165 6789/040 3366 7799 for any further help required."
Ongoing Trip Assistance,Bus breakdown and no alternate is being arranged by bus operator,"My bus has broken down, what do I do?","Sorry to hear about this mishap. In most of the cases, bus operators arrange an alternative bus service in case of a bus breakdown. In rare scenarios, the bus operator may not be in a situation to provide a different bus service. Please contact us on on 1860 108 6789/040 6165 6789/040 3366 7799 for any further help required."
Ongoing Trip Assistance,Any other query,My question is not listed. What should I do?,Please send the details of your query at support@abhibus.com. Please provide all the information in detail so that it helps our team to provide a quicker resolution to you.
Cancellation,How do I cancel my ticket,"I want to cancel my bus ticket. How do I do it?

","You can cancel your ticket either from the Bookings section in the App/website or from the 'Cancel Booking' option that is displayed in the website header and menu option of mobile App/website.<br>You can locate the above mentioned cancellation options in the following ways -<br>1. In the Website(Desktop) a booking can be cancelled through 'Cancel Booking' option which appears on the homepage header for both login and guest users.<br>Logged in users can cancel their bookings also through the 'Bookings' section under 'My Account' where the 'Cancel' option is available against each confirmed bookings in the 'Upcoming' tab.<br>2. In the mobile app and mobile website, the 'Cancel booking' is shown on the main menu for both logged-in and guest users. Logged-in users can cancel their booking also through the 'Cancel' option shown in the booking details page under the 'Upcoming' tab in the 'Bookings' section.<br><br>Tickets booked through logged in accounts can be canceled through the respective accounts only. Whereas, guest users can cancel the bus booking directly using the 'Cancel Booking' option. To cancel the ticket through the stand-alone 'Cancel Booking' option, enter the Ticket Number, corresponding Passenger Mobile number and 'Retrieve' the ticket details. When the ticket detail is displayed, the indicative refund amount for the cancellation of all seats is shown. Select the seats to be canceled and click on ""Yes"" to continue with ticket cancellation.<br>While canceling a bus ticket Logged in users can select the mode of refund as Abhicash, which will instantly credit the refund amount to the Abhicash non-promotional balance."
Cancellation,How do I cancel my ticket,How to cancel my bus ticket?,"You can cancel your ticket either from the Bookings section in the App/website or from the 'Cancel Booking' option that is displayed in the website header and menu option of mobile App/website.<br>You can locate the above mentioned cancellation options in the following ways -<br>1. In the Website(Desktop) a booking can be cancelled through 'Cancel Booking' option which appears on the homepage header for both login and guest users.<br>Logged in users can cancel their bookings also through the 'Bookings' section under 'My Account' where the 'Cancel' option is available against each confirmed bookings in the 'Upcoming' tab.<br>2. In the mobile app and mobile website, the 'Cancel booking' is shown on the main menu for both logged-in and guest users. Logged-in users can cancel their booking also through the 'Cancel' option shown in the booking details page under the 'Upcoming' tab in the 'Bookings' section.<br><br>Tickets booked through logged in accounts can be canceled through the respective accounts only. Whereas, guest users can cancel the bus booking directly using the 'Cancel Booking' option. To cancel the ticket through the stand-alone 'Cancel Booking' option, enter the Ticket Number, corresponding Passenger Mobile number and 'Retrieve' the ticket details. When the ticket detail is displayed, the indicative refund amount for the cancellation of all seats is shown. Select the seats to be canceled and click on ""Yes"" to continue with ticket cancellation.<br>While canceling a bus ticket Logged in users can select the mode of refund as Abhicash, which will instantly credit the refund amount to the Abhicash non-promotional balance."
Cancellation,How do I cancel my ticket,Can you help me cancel my ticket?,"You can cancel your ticket either from the Bookings section in the App/website or from the 'Cancel Booking' option that is displayed in the website header and menu option of mobile App/website.<br>You can locate the above mentioned cancellation options in the following ways -<br>1. In the Website(Desktop) a booking can be cancelled through 'Cancel Booking' option which appears on the homepage header for both login and guest users.<br>Logged in users can cancel their bookings also through the 'Bookings' section under 'My Account' where the 'Cancel' option is available against each confirmed bookings in the 'Upcoming' tab.<br>2. In the mobile app and mobile website, the 'Cancel booking' is shown on the main menu for both logged-in and guest users. Logged-in users can cancel their booking also through the 'Cancel' option shown in the booking details page under the 'Upcoming' tab in the 'Bookings' section.<br><br>Tickets booked through logged in accounts can be canceled through the respective accounts only. Whereas, guest users can cancel the bus booking directly using the 'Cancel Booking' option. To cancel the ticket through the stand-alone 'Cancel Booking' option, enter the Ticket Number, corresponding Passenger Mobile number and 'Retrieve' the ticket details. When the ticket detail is displayed, the indicative refund amount for the cancellation of all seats is shown. Select the seats to be canceled and click on ""Yes"" to continue with ticket cancellation.<br>While canceling a bus ticket Logged in users can select the mode of refund as Abhicash, which will instantly credit the refund amount to the Abhicash non-promotional balance."
Cancellation,How do I cancel my ticket,Can I cancel my ticket?,"You can cancel your ticket either from the Bookings section in the App/website or from the 'Cancel Booking' option that is displayed in the website header and menu option of mobile App/website.<br>You can locate the above mentioned cancellation options in the following ways -<br>1. In the Website(Desktop) a booking can be cancelled through 'Cancel Booking' option which appears on the homepage header for both login and guest users.<br>Logged in users can cancel their bookings also through the 'Bookings' section under 'My Account' where the 'Cancel' option is available against each confirmed bookings in the 'Upcoming' tab.<br>2. In the mobile app and mobile website, the 'Cancel booking' is shown on the main menu for both logged-in and guest users. Logged-in users can cancel their booking also through the 'Cancel' option shown in the booking details page under the 'Upcoming' tab in the 'Bookings' section.<br><br>Tickets booked through logged in accounts can be canceled through the respective accounts only. Whereas, guest users can cancel the bus booking directly using the 'Cancel Booking' option. To cancel the ticket through the stand-alone 'Cancel Booking' option, enter the Ticket Number, corresponding Passenger Mobile number and 'Retrieve' the ticket details. When the ticket detail is displayed, the indicative refund amount for the cancellation of all seats is shown. Select the seats to be canceled and click on ""Yes"" to continue with ticket cancellation.<br>While canceling a bus ticket Logged in users can select the mode of refund as Abhicash, which will instantly credit the refund amount to the Abhicash non-promotional balance."
Cancellation,How to cancel ticket partially (few seats in a ticket),"I want to cancel a few seats from my bus ticket. How can I do that?

","Yes, partial cancellation is allowed in bus tickets. You can cancel unneeded seats in the following ways-<br>1. Select the 'Cancel Booking' option that appears in the website header and in the menu option of mobile app/website. Enter the ticket number and passenger mobile number to obtain the booking details. After the booking detail is shown, select the passenger seat you want to cancel and select the 'Yes' button to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email.<br><br>2. If you had booked the ticket as a logged in user, go to the 'Upcoming' tab under the Bookings section. Select the booking in which you want to cancel a seat. Tap on Cancel button and select the seat you want to cancel. Then tap on 'Yes' button in the cancellation detail page to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email."
Cancellation,How to cancel ticket partially (few seats in a ticket),Do you allow partial cancellation in bus tickets?,"Yes, partial cancellation is allowed in bus tickets. You can cancel unneeded seats in the following ways-<br>1. Select the 'Cancel Booking' option that appears in the website header and in the menu option of mobile app/website. Enter the ticket number and passenger mobile number to obtain the booking details. After the booking detail is shown, select the passenger seat you want to cancel and select the 'Yes' button to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email.<br><br>2. If you had booked the ticket as a logged in user, go to the 'Upcoming' tab under the Bookings section. Select the booking in which you want to cancel a seat. Tap on Cancel button and select the seat you want to cancel. Then tap on 'Yes' button in the cancellation detail page to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email."
Cancellation,How to cancel ticket partially (few seats in a ticket),"Can I cancel some tickets, not all?","Yes, partial cancellation is allowed in bus tickets. You can cancel unneeded seats in the following ways-<br>1. Select the 'Cancel Booking' option that appears in the website header and in the menu option of mobile app/website. Enter the ticket number and passenger mobile number to obtain the booking details. After the booking detail is shown, select the passenger seat you want to cancel and select the 'Yes' button to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email.<br><br>2. If you had booked the ticket as a logged in user, go to the 'Upcoming' tab under the Bookings section. Select the booking in which you want to cancel a seat. Tap on Cancel button and select the seat you want to cancel. Then tap on 'Yes' button in the cancellation detail page to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email."
Cancellation,How to cancel ticket partially (few seats in a ticket),Can you help me cancel a few/one of my tickets?,"Yes, partial cancellation is allowed in bus tickets. You can cancel unneeded seats in the following ways-<br>1. Select the 'Cancel Booking' option that appears in the website header and in the menu option of mobile app/website. Enter the ticket number and passenger mobile number to obtain the booking details. After the booking detail is shown, select the passenger seat you want to cancel and select the 'Yes' button to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email.<br><br>2. If you had booked the ticket as a logged in user, go to the 'Upcoming' tab under the Bookings section. Select the booking in which you want to cancel a seat. Tap on Cancel button and select the seat you want to cancel. Then tap on 'Yes' button in the cancellation detail page to cancel the seat. On successful cancellation, a new ticket is generated with the seats not canceled and sent to the passenger mobile/email."
Cancellation,What charges are applicable on ticket cancellation,"Will there be any cancellation charges applicable should I opt to cancel my bus ticket?

","Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,Are there any cancellation charges in the bus ticket cancellation?,"Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,Is there any cancellation fee?,"Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,How much is cancellation fee?,"Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,Will I get charged if I cancel my ticket?,"Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,Does it cost to cancel my ticket?,"Yes, bus operator cancellation charges are applicable on ticket cancellation. Operator cancellation charges are calculated basis the bus origin start time or bus start time at source or bus boarding time. The cancellation terms are shown in the seat layout page and in the booking confirmation email. Details of charges levied on ticket cancellation is as follows-<br>1. Cancellation charges are calculated on the ticket base fare and not on the total fare.<br>2. Fare components like Levies, SRT, Service Charge, GST, etc are non-refundable.<br>3. An additional cancellation fee of Rs.15 per seat is applicable against all private bus operator bookings. Ticket Cancellation rules may vary from bus operator to bus operator."
Cancellation,What charges are applicable on ticket cancellation,Where can I find the bus operator ticket cancellation policy?,Go to the seat layout page of your preferred bus operator and select the info icon to view cancellation policy. You can also find the cancellation policy in the booking confirmation email sent to the passenger email ID.
Cancellation,What charges are applicable on ticket cancellation,Can you help me find the cancellation policy?,Go to the seat layout page of your preferred bus operator and select the info icon to view cancellation policy. You can also find the cancellation policy in the booking confirmation email sent to the passenger email ID.
Cancellation,What charges are applicable on ticket cancellation,Where is the cancellation policy?,Go to the seat layout page of your preferred bus operator and select the info icon to view cancellation policy. You can also find the cancellation policy in the booking confirmation email sent to the passenger email ID.
Cancellation,Till what time I can cancel my ticket or what is my ticket cancellation cut off time,"What is my ticket cancellation cut-off time?

","Ticket cancellation is allowed based on the cut off time defined by bus operator against each service.<br>The cancellation cut off time varies from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,Till what time I can cancel my ticket or what is my ticket cancellation cut off time,Until when can I cancel my ticket?,"Ticket cancellation is allowed based on the cut off time defined by bus operator against each service.<br>The cancellation cut off time varies from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,Till what time I can cancel my ticket or what is my ticket cancellation cut off time,How late can I cancel my ticket?,"Ticket cancellation is allowed based on the cut off time defined by bus operator against each service.<br>The cancellation cut off time varies from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,I am unable to cancel my ticket or need help with ticket cancellation,"I am unable to cancel my ticket. I need help.



","Following are a few common ways in which your issue can get resolved-<br>1. Please ensure that you are canceling the ticket within the cancellation cut off time defined by the bus operator. You can check the cancellation policy in your booking confirmation email.<br>2. If you have booked the ticket while you were logged in, you need to cancel the ticket by logging-in to the same account.<br>In case you are eligible for a refund, as per the bus operator cancellation policy and can't cancel your ticket, then reach out to us at support@abhibus.com. Mention the booking details along with details of the error you encountered. Our team will help you with cancelling the ticket as per operator cancellation policy and process the refund accordingly against your booking."
Cancellation,I am unable to cancel my ticket or need help with ticket cancellation,Why can't I cancel my ticket?,"Following are a few common ways in which your issue can get resolved-<br>1. Please ensure that you are canceling the ticket within the cancellation cut off time defined by the bus operator. You can check the cancellation policy in your booking confirmation email.<br>2. If you have booked the ticket while you were logged in, you need to cancel the ticket by logging-in to the same account.<br>In case you are eligible for a refund, as per the bus operator cancellation policy and can't cancel your ticket, then reach out to us at support@abhibus.com. Mention the booking details along with details of the error you encountered. Our team will help you with cancelling the ticket as per operator cancellation policy and process the refund accordingly against your booking."
Cancellation,I am unable to cancel my ticket or need help with ticket cancellation,I cannot cancel my ticket.,"Following are a few common ways in which your issue can get resolved-<br>1. Please ensure that you are canceling the ticket within the cancellation cut off time defined by the bus operator. You can check the cancellation policy in your booking confirmation email.<br>2. If you have booked the ticket while you were logged in, you need to cancel the ticket by logging-in to the same account.<br>In case you are eligible for a refund, as per the bus operator cancellation policy and can't cancel your ticket, then reach out to us at support@abhibus.com. Mention the booking details along with details of the error you encountered. Our team will help you with cancelling the ticket as per operator cancellation policy and process the refund accordingly against your booking."
Cancellation,My refund amount is not as per the cancellation terms,The refund amount varies as per the ticket cancellation terms. Why? What should I do now?,"The refund amount may vary according to the ticket cancellation time slabs defined by the bus operators, against each service.<br>The cancellation time slabs vary from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,My refund amount is not as per the cancellation terms,How do I get full refund?,"The refund amount may vary according to the ticket cancellation time slabs defined by the bus operators, against each service.<br>The cancellation time slabs vary from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,My refund amount is not as per the cancellation terms,"I did not get full refund, why?","The refund amount may vary according to the ticket cancellation time slabs defined by the bus operators, against each service.<br>The cancellation time slabs vary from one bus service to another. For some bus services cancellation is allowed till the bus start time from the origin. Whereas for some bus services cancellation is allowed until your boarding time or the bus start time from the source city, you selected at the time of booking."
Cancellation,What components of the fare are refunded on ticket cancellation,"What components from the ticket fare are refunded if I cancel my ticket?

 ",Most bus operators refund the Base Fare post deduction of cancellation charges and the Toll Fee(If collected by any of the RTCs).
Cancellation,What components of the fare are refunded on ticket cancellation,"If I cancel my ticket, which components from the total ticket fare will be refunded?",Most bus operators refund the Base Fare post deduction of cancellation charges and the Toll Fee(If collected by any of the RTCs).
Cancellation,What components of the fare are refunded on ticket cancellation,Will I get a refund if I cancel my ticket?,Most bus operators refund the Base Fare post deduction of cancellation charges and the Toll Fee(If collected by any of the RTCs).
Cancellation,Service Cancellation in  Government Buses,"What are the service cancellation terms in Government buses?

","The service cancellation terms in government buses are as follows-<br>1. When an APSRTC or TSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. A full refund for the tickets is processed automatically.<br>2. When a KSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. Each passenger should cancel their ticket within 30 days of service cancellation through the Abhibus website or mobile app.<br>3. When any other government bus service is canceled, please save the screenshot of the service cancellation SMS or the phone number from where you received the service cancellation information and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Service Cancellation in  Government Buses,What happens when a government bus service is cancelled?,"The service cancellation terms in government buses are as follows-<br>1. When an APSRTC or TSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. A full refund for the tickets is processed automatically.<br>2. When a KSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. Each passenger should cancel their ticket within 30 days of service cancellation through the Abhibus website or mobile app.<br>3. When any other government bus service is canceled, please save the screenshot of the service cancellation SMS or the phone number from where you received the service cancellation information and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Service Cancellation in Private Buses,"What are the service cancellation terms in private buses?


","When private bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. We request you to save a screenshot of the service cancellation SMS or the phone number from where the service cancellation information was received and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Service Cancellation in Private Buses,What happens when a private bus service is canceled?,"When private bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. We request you to save a screenshot of the service cancellation SMS or the phone number from where the service cancellation information was received and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Service Cancellation in Private Buses,Is there any service cancellation of bus services?,"Bus service cancellations are very rare. Bus services get canceled only due to certain unavoidable circumstances.<br>The service cancellation terms are as follows-<br>1. When an APSRTC or TSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. A full refund for the tickets is processed automatically.<br>2. When a KSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. Each passenger should cancel their ticket within 30 days of service cancellation through the Abhibus website or mobile app.<br>3. When any other government bus service or private bus service is canceled, please save the screenshot of the service cancellation SMS or the phone number from where you received the service cancellation information and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Service Cancellation in Private Buses,Can my bus cancel my ticket?,"Bus service cancellations are very rare. Bus services get canceled only due to certain unavoidable circumstances.<br>The service cancellation terms are as follows-<br>1. When an APSRTC or TSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. A full refund for the tickets is processed automatically.<br>2. When a KSRTC bus service is canceled, a service cancellation SMS is sent out to the passengers scheduled to travel in the canceled bus service. Each passenger should cancel their ticket within 30 days of service cancellation through the Abhibus website or mobile app.<br>3. When any other government bus service or private bus service is canceled, please save the screenshot of the service cancellation SMS or the phone number from where you received the service cancellation information and contact our team at support@abhibus.com. We will try our best to arrange a ticket in an alternate bus service based on seat availability or process a full refund."
Cancellation,Any other query,My question is not listed. What should I do?,Please send the details of your query at support@abhibus.com. Please provide all the information in detail so that it helps our team to provide a quicker resolution to you.
Payment/Refund related,My page/screen went blank after entering the net banking/card details.,"My page/screen went blank after entering the net-banking / card details. What do I do now?

","This might occur due to fluctuations in bank networks or poor internet connectivity. In most cases, you'll need to select a different mode of payment or connect to a better internet network to complete your transaction.<br>If the amount gets deducted from your account, please read the following resolutions -<br>1. You will receive the ticket confirmation via SMS & email within 15 minutes if the booking amount is received by Abhibus. If you do not receive the booking confirmation details within 15 minutes, the deducted amount will be auto refunded to your account within one hour. After 15 minutes you can go ahead and make a new booking.<br>2. Sometimes, Abhibus might not receive the booking amount even if its deducted from your account. Such a scenario may arise when your bank puts a hold on the payment. Your bank may release the hold on such payments in 24-48 hours, where the amount deducted is reversed by the bank. Go to the 'Booking/Payment Failures' section in the chatbot to find out if Abhibus received the payment. If the 'Payment Received' by Abhibus is 'No' please go ahead and make a new booking."
